tk,buy_hold_sharpe,buy_hold_dd,buy_hold_cagr,trend_sharpe,trend_dd,trend_cagr,voltgt_sharpe,voltgt_dd,voltgt_cagr,trend_voltgt_sharpe,trend_voltgt_dd,trend_voltgt_cagr
GOOGL,1.0065548240164515,-0.1860750151753291,0.2187789605931041,0.45182799305582716,-0.20777640693372523,0.06325918868225089,0.9270837917063279,-0.14365886069380485,0.1349886470786097,0.5219728106995056,-0.13473835841317627,0.05316414145386217
GPC,0.47343061397963415,-0.285384544363402,0.07273319556350843,-0.09161541548613855,-0.2677729961109495,-0.016098399783870176,0.3392114525882017,-0.22503687876643197,0.036917001640746294,-0.12926090374247995,-0.21306729005548097,-0.01463922537759299
GPN,1.3070734588302306,-0.2778695293146153,0.33671661910365835,0.9123081107902996,-0.32665682070318103,0.18629451881067416,1.1993408717513685,-0.14914338134403105,0.1894602391895206,0.8767993291533399,-0.1553392294302368,0.10856546158854852
GPS,0.1686390695162556,-0.6331830864992489,0.0024123096732100446,-0.5014957306887751,-0.5383708890806975,-0.09329592076214221,-0.2700769891219444,-0.486743822006788,-0.05158713825578798,-0.650892146080083,-0.3360310452588573,-0.05582685471287119
GRMN,0.5139750965177127,-0.4767385313665088,0.1063910278410738,0.5081775683545129,-0.27910282690723043,0.07228142034895435,0.5743896993815611,-0.33020166266641804,0.07784571406649987,0.5190803595895657,-0.17990396180856738,0.04902997606159065
GS,0.5927891664581587,-0.36121794871794854,0.11161274423053968,0.16081108291709373,-0.2049190672951725,0.012787638590649575,0.5157025924521274,-0.2271076719200753,0.06217763403825027,-0.02583229579792796,-0.1760332930308668,-0.007368288795743361
GT,0.769496052832552,-0.30953218431234597,0.19787558751829093,-0.28117798571225794,-0.4413742561726409,-0.0709308642768488,0.40870768355278203,-0.20710351956714246,0.05052946066986319,-0.5884592704620327,-0.3652967967102958,-0.06572061608101332
GWW,0.27047305039194874,-0.4297653370314932,0.03706795327028467,-0.7402711948137477,-0.30065963426230113,-0.06410468336043806,0.03795058535373941,-0.3629719087018306,-0.005974709508582587,-0.7088261357466419,-0.19291152122446986,-0.04125530313259351
HAL,0.2747341722086945,-0.6152391245609294,0.03794329331613944,0.2834632179214065,-0.2645079016314301,0.032375063331038456,0.4644054782730224,-0.28754345039969864,0.05585847435409885,0.35048377573118017,-0.13742087403644343,0.025258782145782144
HAS,0.9051681211866615,-0.23510133678309575,0.2077399323570932,0.061317360178750925,-0.2139767671962688,-0.0047520832772560695,0.7785773132736096,-0.16941667474150945,0.1180195377736093,0.09860767945987428,-0.16555007680714628,0.004595185455654738
HBAN,0.7747643447161358,-0.32390202702702775,0.16812138370559948,0.17885679906746105,-0.29675725260581054,0.015978439302089864,0.5553188671824568,-0.1756085669649774,0.06850173007277838,0.007674529541043593,-0.1730805081255703,-0.004436257884307682
HBI,0.6759753690680101,-0.4511278195488715,0.1677043401174101,0.4286003513748412,-0.34578202985850426,0.05683256112484347,0.754184115118963,-0.26044128911433073,0.11044908130351483,0.46931754164816564,-0.19961015012544603,0.04227153344228074
HCA,0.8694489193187273,-0.33730619133002837,0.21500480854270965,0.6514384619919465,-0.2728947876911867,0.11250981572199814,0.8639106575512369,-0.16576000191103435,0.11799312766338388,0.6382430044860692,-0.1365303372393345,0.06499500447978579
HCN,0.006161326609424366,-0.36330209939508973,-0.019211103944778873,0.17846062603655022,-0.19444753143224935,0.013527237640605705,-0.08458746883414527,-0.30874717117211625,-0.019975711555297426,0.14808679275423317,-0.16715467869241774,0.008473266166895144
HCP,-0.47652511996134694,-0.5794138929088283,-0.12941739455689827,-0.5397905164025155,-0.26999055747449985,-0.04215513120667014,-0.5727007357459538,-0.42357319536393145,-0.08498234511181701,-0.5056217585349515,-0.17696568553783143,-0.02915626737645627
HD,1.2696385972983868,-0.16988273712334923,0.233830153272496,0.936522077769208,-0.1629172033746359,0.13767924552987432,1.1598927991964552,-0.12414063955265753,0.15295151068845358,0.8675525402444632,-0.1284525785493752,0.09503497393562488
HES,-0.07691072177782375,-0.6599406528189908,-0.08133828224279438,-0.7091373223616264,-0.4991844286790148,-0.08991897152359485,-0.29630811999464224,-0.46110083388923506,-0.04834772948126642,-0.4505453714211728,-0.29709745394158493,-0.03022149245856831
HIG,0.9151442409976385,-0.240258429234807,0.18271618388058042,0.4907671309873541,-0.1807821057705511,0.06384473933650736,0.6818737684624794,-0.1666082890655034,0.08674702491886954,0.4125433172867199,-0.1284234067452834,0.040360825077660145
HII,1.5249753362500893,-0.2756530825496344,0.38989481774243306,0.6854942265952495,-0.27940629088781976,0.11424023914176762,1.2863600645419768,-0.1517008220296946,0.19150737479628788,0.43218458563053763,-0.18216715246005732,0.045474594956542935
HOG,0.07450458590306851,-0.4929672707600755,-0.017177373435938836,-0.02808629116576906,-0.2027826758235517,-0.009564948016764996,-0.2852655954874096,-0.37629966829886474,-0.05078845559414047,-0.24132500636952042,-0.13581266931480862,-0.019785365912436403
HOLX,0.6142171695769023,-0.24464119291705588,0.12648904716897325,0.4805258853860017,-0.2134561988594441,0.06783624057275883,0.3327413430058043,-0.19250654634491238,0.038898813215753725,0.25271112161681775,-0.19377921521604835,0.021395678320828004
HON,1.0024788273381773,-0.14641192917055024,0.1650246931408117,0.41275149323804805,-0.17699541553608744,0.04321706802327174,0.8808534934160174,-0.11145586290783593,0.10964452333411567,0.37942068926578354,-0.15357343169631943,0.034260726885750215
HP,0.20634929078015762,-0.6420661087158679,0.009403739347733309,0.20332942428732637,-0.2820416212114367,0.02047329346563176,0.3438741972498604,-0.3232391440463024,0.038195062292785575,0.2601682702370982,-0.12247669268858241,0.018021072797474114
HRB,0.18266443280041117,-0.47967914438502635,0.010767166543163897,-0.5130358120053398,-0.3868631447229468,-0.09231361109128988,-0.13060566907775026,-0.36027654814740884,-0.03380276466429799,-0.7085053335747286,-0.2828243870346303,-0.06486113562795648
HRL,0.7133687708935562,-0.32201484146615755,0.1283806639423739,0.5709276798919496,-0.27518645462655955,0.07355105713444332,0.4219746930063224,-0.25171638364843407,0.05087482881567307,0.3673703391975166,-0.19178310839443447,0.03241316332279709
